,viewCount,likeCount,commentCount,dislikeCount,subscriberCount,categoryId,ratio,popularity
0,867080.0,115293.0,21204.0,39659.0,39659.0,24.0,21.863385360195668,1
1,1523926.0,17084.0,31470.0,54472.0,54472.0,24.0,27.97631810838596,1
2,168.0,16.0,0.0,5.0,5.0,24.0,33.6,1
3,416.0,41.0,0.0,11.0,11.0,24.0,37.81818181818182,1
4,34957.0,563.0,707.0,882.0,882.0,24.0,39.63378684807256,1
5,1352640.0,67604.0,4853.0,29990.0,29990.0,24.0,45.10303434478159,1
6,222711.0,24812.0,1596.0,4305.0,4305.0,24.0,51.733101045296166,1
7,30185.0,3154.0,641.0,545.0,545.0,24.0,55.38532110091743,1
8,21607.0,3463.0,431.0,355.0,355.0,24.0,60.864788732394366,1
9,223358.0,4543.0,1391.0,3608.0,3608.0,1.0,61.90631929046563,1
10,150344.0,2222.0,704.0,2410.0,2410.0,24.0,62.383402489626555,1
11,677376.0,16857.0,4079.0,9509.0,9509.0,24.0,71.23525081501735,1
12,1483055.0,8871.0,11091.0,19998.0,19998.0,24.0,74.16016601660166,1
13,9009.0,1179.0,0.0,112.0,112.0,20.0,80.4375,1
14,122665.0,1752.0,412.0,1486.0,1486.0,1.0,82.5471063257066,1
15,592891.0,71458.0,3400.0,6521.0,6521.0,24.0,90.92025762919798,1
16,334323.0,4252.0,2078.0,3662.0,3662.0,24.0,91.29519388312397,1
17,84917.0,3131.0,2.0,923.0,923.0,20.0,92.00108342361864,1
18,1580568.0,62354.0,4579.0,17078.0,17078.0,24.0,92.54994730062069,1
19,47735.0,11620.0,1358.0,498.0,498.0,24.0,95.85341365461848,1
20,85129.0,257.0,594.0,847.0,847.0,24.0,100.50649350649351,1
21,5550713.0,128034.0,9719.0,54988.0,54988.0,1.0,100.94407870808176,1
22,823.0,57.0,2.0,8.0,8.0,22.0,102.875,1
23,15659.0,2088.0,445.0,152.0,152.0,1.0,103.01973684210526,1
24,481809.0,40896.0,1913.0,4072.0,4072.0,24.0,118.32244597249509,1
25,8511.0,854.0,334.0,70.0,70.0,24.0,121.58571428571429,1
26,12044.0,1278.0,641.0,96.0,96.0,22.0,125.45833333333333,1
27,241997.0,25077.0,2449.0,1926.0,1926.0,24.0,125.64745586708203,1
28,23370.0,2693.0,756.0,180.0,180.0,20.0,129.83333333333334,1
29,37737.0,3423.0,260.0,274.0,274.0,23.0,137.72627737226279,1
30,11630.0,1674.0,224.0,83.0,83.0,24.0,140.12048192771084,1
31,3960.0,370.0,0.0,28.0,28.0,1.0,141.42857142857142,1
32,4024.0,80.0,0.0,28.0,28.0,24.0,143.71428571428572,1
33,1918.0,261.0,28.0,13.0,13.0,22.0,147.53846153846155,1
34,478072.0,21943.0,302.0,3239.0,3239.0,24.0,147.5986415560358,1
35,59590.0,5561.0,213.0,399.0,399.0,24.0,149.34837092731829,1
36,219931.0,22907.0,1767.0,1436.0,1436.0,23.0,153.15529247910862,1
37,61095.0,892.0,150.0,394.0,394.0,1.0,155.06345177664974,1
38,114587.0,6450.0,465.0,736.0,736.0,24.0,155.6888586956522,1
39,609506.0,17502.0,5162.0,3861.0,3861.0,24.0,157.86221186221186,1
40,22220.0,738.0,168.0,135.0,135.0,24.0,164.59259259259258,1
41,1336.0,161.0,3.0,8.0,8.0,24.0,167.0,1
42,336.0,40.0,3.0,2.0,2.0,1.0,168.0,1
43,1359.0,157.0,25.0,8.0,8.0,22.0,169.875,1
44,139016.0,3338.0,710.0,790.0,790.0,24.0,175.96962025316455,1
45,20209.0,2777.0,320.0,114.0,114.0,24.0,177.2719298245614,1
46,410850.0,11196.0,0.0,2287.0,2287.0,20.0,179.64582422387406,1
47,11373.0,1674.0,311.0,63.0,63.0,24.0,180.52380952380952,1
48,23101.0,1588.0,801.0,127.0,127.0,22.0,181.89763779527559,1
49,184.0,44.0,9.0,1.0,1.0,20.0,184.0,1
50,204001.0,28053.0,2783.0,1103.0,1103.0,24.0,184.95104261106076,1
51,159624.0,15975.0,0.0,857.0,857.0,23.0,186.25904317386232,1
52,71062.0,3878.0,189.0,381.0,381.0,24.0,186.51443569553805,1
53,187.0,14.0,0.0,1.0,1.0,22.0,187.0,1
54,117447.0,2645.0,532.0,624.0,624.0,24.0,188.21634615384616,1
55,10515.0,1440.0,119.0,55.0,55.0,20.0,191.1818181818182,1
56,76294.0,7100.0,606.0,388.0,388.0,22.0,196.6340206185567,1
57,732490.0,42793.0,2481.0,3701.0,3701.0,24.0,197.91677924885167,1
58,456268.0,35466.0,0.0,2296.0,2296.0,24.0,198.72299651567945,1
59,80490.0,1629.0,328.0,402.0,402.0,1.0,200.22388059701493,1
60,5050.0,480.0,51.0,25.0,25.0,24.0,202.0,1
61,7102.0,717.0,130.0,35.0,35.0,24.0,202.9142857142857,1
62,609.0,15.0,0.0,3.0,3.0,22.0,203.0,1
63,236853.0,19013.0,1753.0,1158.0,1158.0,23.0,204.53626943005182,1
64,127987.0,13905.0,1630.0,624.0,624.0,20.0,205.1073717948718,1
65,31342.0,1490.0,290.0,150.0,150.0,24.0,208.94666666666666,1
66,22154.0,1776.0,190.0,106.0,106.0,22.0,209.0,1
67,47587.0,8198.0,1342.0,226.0,226.0,20.0,210.56194690265488,1
68,10089.0,1074.0,87.0,47.0,47.0,22.0,214.6595744680851,1
69,367322.0,18611.0,1218.0,1707.0,1707.0,23.0,215.18570591681313,1
70,5600.0,536.0,76.0,26.0,26.0,22.0,215.3846153846154,1
71,418643.0,3859.0,4126.0,1935.0,1935.0,24.0,216.3529715762274,1
72,39867.0,3305.0,1546.0,184.0,184.0,22.0,216.66847826086956,1
73,8800.0,840.0,100.0,40.0,40.0,22.0,220.0,1
74,17950.0,1716.0,107.0,81.0,81.0,24.0,221.60493827160494,1
75,13329.0,2175.0,109.0,60.0,60.0,24.0,222.15,1
76,15417.0,4209.0,711.0,69.0,69.0,23.0,223.43478260869566,1
77,120849.0,18465.0,1177.0,540.0,540.0,20.0,223.79444444444445,1
78,25762856.0,222603.0,20901.0,114797.0,114797.0,22.0,224.42098661114838,1
79,1275400.0,79217.0,4181.0,5659.0,5659.0,23.0,225.37550804028982,1
80,16548.0,1807.0,531.0,73.0,73.0,24.0,226.68493150684932,1
81,682.0,92.0,19.0,3.0,3.0,1.0,227.33333333333334,1
82,34994.0,3475.0,419.0,153.0,153.0,22.0,228.718954248366,1
83,942289.0,154874.0,5498.0,4101.0,4101.0,22.0,229.77054376981224,1
84,5523.0,1346.0,182.0,24.0,24.0,22.0,230.125,1
85,6683.0,393.0,23.0,29.0,29.0,24.0,230.44827586206895,1
86,111411.0,11915.0,587.0,483.0,483.0,24.0,230.66459627329192,1
87,253751.0,18979.0,1251.0,1098.0,1098.0,23.0,231.10291438979962,1
88,676445.0,84126.0,0.0,2916.0,2916.0,19.0,231.9770233196159,1
89,697.0,58.0,21.0,3.0,3.0,22.0,232.33333333333334,1
90,105375.0,3122.0,171.0,449.0,449.0,24.0,234.6881959910913,1
91,23281.0,1013.0,287.0,99.0,99.0,24.0,235.16161616161617,1
92,143276.0,24781.0,2267.0,608.0,608.0,24.0,235.65131578947367,1
93,8250.0,1606.0,412.0,35.0,35.0,1.0,235.71428571428572,1
94,4554.0,488.0,110.0,19.0,19.0,22.0,239.68421052631578,1
95,4569.0,109.0,47.0,19.0,19.0,22.0,240.47368421052633,1
96,2170.0,208.0,51.0,9.0,9.0,23.0,241.11111111111111,1
97,9423.0,1219.0,45.0,39.0,39.0,24.0,241.6153846153846,1
98,120872.0,14046.0,4894.0,498.0,498.0,24.0,242.71485943775102,1
99,248675.0,23278.0,3010.0,1017.0,1017.0,20.0,244.51819075712882,1
100,396492.0,45023.0,3307.0,1617.0,1617.0,24.0,245.2022263450835,1
101,492.0,6.0,0.0,2.0,2.0,22.0,246.0,1
102,1230.0,119.0,11.0,5.0,5.0,1.0,246.0,1
103,122888.0,3444.0,404.0,497.0,497.0,24.0,247.25955734406438,1
104,36596.0,4895.0,415.0,148.0,148.0,22.0,247.27027027027026,1
105,94599.0,10133.0,897.0,382.0,382.0,23.0,247.6413612565445,1
106,97680.0,3298.0,334.0,392.0,392.0,19.0,249.18367346938774,1
107,805796.0,33921.0,1584.0,3196.0,3196.0,24.0,252.1264080100125,1
108,2817.0,303.0,177.0,11.0,11.0,24.0,256.09090909090907,1
109,5331423.0,33722.0,10304.0,20606.0,20606.0,24.0,258.73158303406774,1
110,363050.0,29882.0,1442.0,1403.0,1403.0,24.0,258.76692801140416,1
111,22217910.0,407437.0,56480.0,85761.0,85761.0,1.0,259.06775807185085,1
112,784.0,95.0,0.0,3.0,3.0,22.0,261.3333333333333,1
113,2358.0,255.0,69.0,9.0,9.0,24.0,262.0,1
114,49327.0,6151.0,606.0,188.0,188.0,24.0,262.3776595744681,1
115,27224.0,835.0,186.0,103.0,103.0,20.0,264.31067961165047,1
116,77092.0,5854.0,391.0,290.0,290.0,24.0,265.8344827586207,1
117,126554.0,8208.0,39.0,476.0,476.0,24.0,265.8697478991597,1
118,452250.0,17243.0,4224.0,1701.0,1701.0,1.0,265.87301587301585,1
119,4528.0,532.0,117.0,17.0,17.0,23.0,266.3529411764706,1
120,43437.0,819.0,88.0,163.0,163.0,1.0,266.4846625766871,1
121,9070.0,873.0,24.0,34.0,34.0,24.0,266.7647058823529,1
122,40037.0,860.0,0.0,149.0,149.0,24.0,268.7046979865772,1
123,1076.0,106.0,6.0,4.0,4.0,1.0,269.0,1
124,30440.0,1030.0,154.0,113.0,113.0,22.0,269.3805309734513,1
125,672749.0,14184.0,6027.0,2490.0,2490.0,24.0,270.18032128514056,1
126,79440.0,7653.0,222.0,294.0,294.0,24.0,270.2040816326531,1
127,7566528.0,50439.0,0.0,27988.0,27988.0,1.0,270.3490067171645,1
128,148014.0,14735.0,2043.0,547.0,547.0,24.0,270.5923217550274,1
129,8146.0,456.0,202.0,30.0,30.0,22.0,271.53333333333336,1
130,30165.0,2830.0,271.0,111.0,111.0,24.0,271.7567567567568,1
131,17955.0,1929.0,140.0,66.0,66.0,24.0,272.04545454545456,1
132,253935.0,27299.0,1031.0,927.0,927.0,23.0,273.93203883495147,1
133,43640.0,8764.0,328.0,159.0,159.0,24.0,274.4654088050315,1
134,49353.0,9803.0,358.0,179.0,179.0,24.0,275.7150837988827,1
135,96796.0,12427.0,931.0,348.0,348.0,23.0,278.14942528735634,1
136,68981.0,10764.0,1888.0,246.0,246.0,22.0,280.4105691056911,1
137,243178.0,20157.0,0.0,866.0,866.0,24.0,280.80600461893766,1
138,161065.0,3965.0,401.0,571.0,571.0,24.0,282.0753064798599,1
139,30929.0,2756.0,360.0,109.0,109.0,24.0,283.7522935779817,1
140,31244.0,3565.0,1035.0,110.0,110.0,20.0,284.03636363636366,1
141,527352.0,41316.0,3268.0,1854.0,1854.0,23.0,284.4401294498382,1
142,1110046.0,106173.0,8254.0,3874.0,3874.0,20.0,286.53742901393906,1
143,182458.0,10454.0,1142.0,632.0,632.0,24.0,288.6993670886076,1
144,9323.0,477.0,22.0,32.0,32.0,24.0,291.34375,1
145,13134.0,762.0,72.0,45.0,45.0,24.0,291.8666666666667,1
146,1170.0,129.0,0.0,4.0,4.0,1.0,292.5,1
147,6538.0,912.0,127.0,22.0,22.0,19.0,297.1818181818182,1
148,10817.0,628.0,96.0,36.0,36.0,22.0,300.47222222222223,1
149,2356201.0,182791.0,4117.0,7781.0,7781.0,24.0,302.8146767767639,1
150,12214.0,773.0,59.0,40.0,40.0,24.0,305.35,1
151,6733.0,674.0,213.0,22.0,22.0,19.0,306.04545454545456,1
152,477147.0,33057.0,7799.0,1553.0,1553.0,20.0,307.24211204121053,1
153,126279.0,9429.0,613.0,405.0,405.0,24.0,311.8,1
154,4095.0,397.0,0.0,13.0,13.0,24.0,315.0,1
155,4428.0,356.0,21.0,14.0,14.0,22.0,316.2857142857143,1
156,4961038.0,53033.0,3582.0,15588.0,15588.0,23.0,318.2600718501411,1
157,1597.0,74.0,5.0,5.0,5.0,24.0,319.4,1
158,742152.0,53010.0,2756.0,2315.0,2315.0,22.0,320.5840172786177,1
159,20218.0,667.0,60.0,63.0,63.0,22.0,320.92063492063494,1
160,232407.0,16041.0,1000.0,724.0,724.0,19.0,321.00414364640886,1
161,15537.0,1087.0,58.0,48.0,48.0,24.0,323.6875,1
162,1320260.0,81197.0,7626.0,4000.0,4000.0,22.0,330.065,1
163,9431778.0,385975.0,13291.0,28565.0,28565.0,24.0,330.1865219674427,1
164,333.0,80.0,45.0,1.0,1.0,24.0,333.0,1
165,8350.0,814.0,85.0,25.0,25.0,19.0,334.0,1
166,709943.0,75747.0,1697.0,2102.0,2102.0,22.0,337.7464319695528,1
167,25404.0,3524.0,420.0,75.0,75.0,24.0,338.72,1
168,1180421.0,8564.0,0.0,3484.0,3484.0,24.0,338.81199770378873,1
169,182856.0,13520.0,857.0,539.0,539.0,24.0,339.25046382189237,1
170,287895.0,24025.0,3136.0,847.0,847.0,24.0,339.8996458087367,1
171,430765.0,16249.0,2527.0,1257.0,1257.0,23.0,342.69291964996023,1
172,2688285.0,11638.0,1.0,7810.0,7810.0,22.0,344.21062740076826,1
173,61273.0,3445.0,1081.0,177.0,177.0,1.0,346.17514124293785,1
174,29450.0,2861.0,200.0,85.0,85.0,23.0,346.47058823529414,1
175,17342.0,1102.0,270.0,50.0,50.0,22.0,346.84,1
176,354075.0,27375.0,2645.0,1017.0,1017.0,23.0,348.15634218289085,1
177,67563.0,6083.0,393.0,194.0,194.0,22.0,348.2628865979381,1
178,461602.0,2852.0,0.0,1319.0,1319.0,24.0,349.9636087945413,1
179,96024.0,21125.0,1001.0,274.0,274.0,20.0,350.45255474452557,1
180,69853.0,9802.0,638.0,196.0,196.0,23.0,356.39285714285717,1
181,282788.0,22754.0,1018.0,793.0,793.0,23.0,356.60529634300127,1
182,216033.0,14471.0,3369.0,601.0,601.0,22.0,359.45590682196337,1
183,2148627.0,46654.0,1418.0,5952.0,5952.0,1.0,360.992439516129,1
184,1118462.0,4744.0,1496.0,3096.0,3096.0,1.0,361.26033591731266,1
185,13728.0,1686.0,472.0,38.0,38.0,24.0,361.2631578947368,1
186,1052939.0,104093.0,0.0,2894.0,2894.0,22.0,363.83517622667586,1
187,211085.0,10994.0,459.0,580.0,580.0,24.0,363.9396551724138,1
188,142055.0,11292.0,938.0,390.0,390.0,24.0,364.2435897435897,1
189,2222625.0,10619.0,0.0,6097.0,6097.0,24.0,364.54403805150076,1
190,25316399.0,149721.0,0.0,69372.0,69372.0,1.0,364.93684771954105,1
191,29664.0,701.0,26.0,81.0,81.0,23.0,366.22222222222223,1
192,1251816.0,204057.0,9125.0,3395.0,3395.0,22.0,368.7234167893962,1
193,69040.0,15457.0,1220.0,186.0,186.0,24.0,371.18279569892474,1
194,3726.0,404.0,79.0,10.0,10.0,24.0,372.6,1
195,444438.0,34166.0,2106.0,1192.0,1192.0,23.0,372.8506711409396,1
196,37073.0,5244.0,518.0,99.0,99.0,1.0,374.47474747474746,1
197,1886.0,235.0,34.0,5.0,5.0,19.0,377.2,1
198,1749731.0,47900.0,4320.0,4618.0,4618.0,24.0,378.89367691641405,1
199,331913.0,13035.0,1957.0,875.0,875.0,22.0,379.32914285714287,1
200,549273.0,50134.0,3656.0,1447.0,1447.0,24.0,379.5943331029717,1
201,59640.0,5473.0,82.0,157.0,157.0,23.0,379.87261146496814,1
202,12552.0,1539.0,193.0,33.0,33.0,22.0,380.3636363636364,1
203,157670.0,901.0,0.0,413.0,413.0,24.0,381.7675544794189,1
204,14906.0,678.0,47.0,39.0,39.0,24.0,382.20512820512823,1
205,37461.0,2728.0,858.0,98.0,98.0,24.0,382.2551020408163,1
206,167439.0,4153.0,227.0,437.0,437.0,24.0,383.15560640732264,1
207,80581.0,8173.0,292.0,210.0,210.0,24.0,383.7190476190476,1
208,52615.0,9976.0,877.0,137.0,137.0,24.0,384.05109489051097,1
209,34570.0,5322.0,984.0,90.0,90.0,24.0,384.1111111111111,1
210,760764.0,32079.0,1046.0,1970.0,1970.0,22.0,386.1746192893401,1
211,1058606.0,100026.0,3089.0,2741.0,2741.0,24.0,386.2116016052536,1
212,554404.0,38895.0,2353.0,1429.0,1429.0,23.0,387.9664100769769,1
213,3882986.0,488705.0,38745.0,9972.0,9972.0,23.0,389.3888888888889,1
214,38589.0,795.0,635.0,99.0,99.0,24.0,389.7878787878788,1
215,290578.0,14703.0,664.0,745.0,745.0,24.0,390.0375838926175,1
216,5723073.0,26724.0,0.0,14647.0,14647.0,24.0,390.7334607769509,1
217,465946.0,12064.0,331.0,1183.0,1183.0,24.0,393.86813186813185,1
218,171385.0,8553.0,402.0,434.0,434.0,24.0,394.8963133640553,1
219,65684.0,5125.0,1245.0,166.0,166.0,20.0,395.68674698795184,1
220,4231069.0,18612.0,0.0,10665.0,10665.0,1.0,396.72470698546647,1
221,107605.0,6929.0,656.0,271.0,271.0,22.0,397.06642066420665,1
222,37732.0,1768.0,237.0,95.0,95.0,24.0,397.17894736842106,1
223,256053.0,22442.0,1167.0,643.0,643.0,23.0,398.2161741835148,1
224,37911.0,2928.0,731.0,95.0,95.0,24.0,399.06315789473683,1
225,158534.0,18319.0,543.0,397.0,397.0,23.0,399.3299748110831,1
226,232582.0,15623.0,802.0,581.0,581.0,22.0,400.31325301204816,1
227,9526976.0,234259.0,13403.0,23789.0,23789.0,24.0,400.4782042120308,1
228,42898.0,970.0,129.0,107.0,107.0,1.0,400.9158878504673,1
229,136668.0,2525.0,0.0,338.0,338.0,23.0,404.3431952662722,1
230,31698.0,3294.0,433.0,78.0,78.0,22.0,406.38461538461536,1
231,643876.0,4639.0,0.0,1582.0,1582.0,1.0,407.00126422250315,1
232,24450.0,4670.0,292.0,60.0,60.0,24.0,407.5,1
233,4165521.0,18624.0,2441.0,10200.0,10200.0,24.0,408.3844117647059,1
234,24561.0,2672.0,75.0,60.0,60.0,22.0,409.35,1
235,56108.0,2338.0,378.0,136.0,136.0,22.0,412.55882352941177,1
236,1497178.0,105693.0,8186.0,3626.0,3626.0,22.0,412.90071704357416,1
237,818365.0,86470.0,3926.0,1970.0,1970.0,24.0,415.4137055837563,1
238,139273.0,17977.0,2066.0,333.0,333.0,22.0,418.23723723723725,1
239,6695.0,1260.0,198.0,16.0,16.0,20.0,418.4375,1
240,128997.0,9886.0,961.0,308.0,308.0,22.0,418.82142857142856,1
241,10898.0,158.0,14.0,26.0,26.0,22.0,419.15384615384613,1
242,72145.0,2227.0,494.0,172.0,172.0,22.0,419.44767441860466,1
243,67610.0,809.0,32.0,161.0,161.0,24.0,419.9378881987578,1
244,66367.0,6696.0,296.0,158.0,158.0,22.0,420.04430379746833,1
245,15999.0,1883.0,246.0,38.0,38.0,20.0,421.0263157894737,1
246,49346.0,6824.0,332.0,117.0,117.0,22.0,421.7606837606838,1
247,5085.0,553.0,95.0,12.0,12.0,24.0,423.75,1
248,22588641.0,130427.0,0.0,52826.0,52826.0,24.0,427.60460757960095,1
249,13687.0,596.0,22.0,32.0,32.0,24.0,427.71875,1
250,18460.0,2153.0,455.0,43.0,43.0,24.0,429.30232558139534,1
251,435393.0,35586.0,2294.0,1014.0,1014.0,23.0,429.3816568047337,1
252,50820268.0,149337.0,118.0,118154.0,118154.0,1.0,430.11889567852126,1
253,2152.0,264.0,148.0,5.0,5.0,24.0,430.4,1
254,546735.0,20810.0,1995.0,1270.0,1270.0,23.0,430.5,1
255,6903943.0,160356.0,9080.0,16037.0,16037.0,24.0,430.500904159132,1
256,152708.0,22116.0,1560.0,354.0,354.0,20.0,431.3785310734463,1
257,11299.0,1779.0,115.0,26.0,26.0,23.0,434.5769230769231,1
258,57474.0,1872.0,0.0,132.0,132.0,1.0,435.40909090909093,1
259,334978.0,28396.0,2166.0,769.0,769.0,23.0,435.60208062418724,1
260,99340.0,7833.0,1037.0,228.0,228.0,22.0,435.70175438596493,1
261,4422561.0,32734.0,0.0,10129.0,10129.0,22.0,436.623654852404,1
262,1941507.0,42305.0,1657.0,4441.0,4441.0,24.0,437.1778878630939,1
263,114598.0,11268.0,771.0,262.0,262.0,24.0,437.39694656488547,1
264,16243.0,1491.0,118.0,37.0,37.0,24.0,439.0,1
265,209969.0,5275.0,468.0,478.0,478.0,24.0,439.265690376569,1
266,111259.0,519.0,0.0,253.0,253.0,1.0,439.75889328063244,1
267,123558.0,1465.0,0.0,279.0,279.0,24.0,442.86021505376345,1
268,136501.0,3127.0,47.0,308.0,308.0,1.0,443.18506493506493,1
269,157879.0,3805.0,548.0,356.0,356.0,24.0,443.4803370786517,1
270,647085.0,36622.0,1643.0,1454.0,1454.0,24.0,445.0378266850069,1
271,118424.0,4175.0,1326.0,266.0,266.0,24.0,445.203007518797,1
272,1783.0,16.0,0.0,4.0,4.0,22.0,445.75,1
273,244853.0,13350.0,783.0,548.0,548.0,20.0,446.8120437956204,1
274,204015.0,13005.0,2528.0,456.0,456.0,24.0,447.4013157894737,1
275,18880.0,944.0,201.0,42.0,42.0,24.0,449.5238095238095,1
276,129482.0,7783.0,1103.0,288.0,288.0,24.0,449.59027777777777,1
277,129200.0,15749.0,909.0,286.0,286.0,23.0,451.74825174825173,1
278,7228.0,679.0,43.0,16.0,16.0,24.0,451.75,1
279,527782.0,3075.0,0.0,1162.0,1162.0,24.0,454.2013769363167,1
280,55244441.0,440491.0,0.0,121141.0,121141.0,22.0,456.03421632642954,1
281,1088277.0,11844.0,0.0,2383.0,2383.0,22.0,456.68359211078473,1
282,68511.0,4733.0,198.0,150.0,150.0,22.0,456.74,1
283,42960.0,4808.0,263.0,94.0,94.0,22.0,457.02127659574467,1
284,4306619.0,38849.0,3366.0,9353.0,9353.0,24.0,460.4532235646317,1
285,343020.0,40340.0,2487.0,743.0,743.0,24.0,461.66890982503367,1
286,4619.0,647.0,203.0,10.0,10.0,20.0,461.9,1
287,65936.0,381.0,0.0,142.0,142.0,24.0,464.3380281690141,1
288,1253542.0,55264.0,1726.0,2685.0,2685.0,1.0,466.8685288640596,1
289,118957.0,8467.0,390.0,254.0,254.0,23.0,468.3346456692913,1
290,1015867.0,101389.0,12050.0,2166.0,2166.0,24.0,469.0060018467221,1
291,64378.0,6398.0,250.0,137.0,137.0,24.0,469.9124087591241,1
292,26349.0,2039.0,118.0,56.0,56.0,22.0,470.51785714285717,1
293,942.0,59.0,0.0,2.0,2.0,24.0,471.0,1
294,37860.0,2507.0,1018.0,80.0,80.0,24.0,473.25,1
295,30800.0,3020.0,375.0,65.0,65.0,24.0,473.84615384615387,1
296,150730.0,9719.0,2746.0,318.0,318.0,22.0,473.9937106918239,1
297,1354168.0,10046.0,0.0,2853.0,2853.0,24.0,474.64703820539785,1
298,20905.0,3518.0,309.0,44.0,44.0,24.0,475.1136363636364,1
299,50871.0,2117.0,1122.0,107.0,107.0,24.0,475.4299065420561,1
300,6944610.0,37568.0,1523.0,14598.0,14598.0,24.0,475.7233867653103,1
301,221951.0,10292.0,0.0,466.0,466.0,22.0,476.28969957081546,1
302,205725657.0,983015.0,0.0,428998.0,428998.0,24.0,479.5492216746931,1
303,32743.0,3373.0,382.0,68.0,68.0,22.0,481.5147058823529,1
304,6261.0,1776.0,252.0,13.0,13.0,1.0,481.61538461538464,1
305,15552391.0,72033.0,0.0,32255.0,32255.0,24.0,482.1699271430786,1
306,4828.0,338.0,205.0,10.0,10.0,24.0,482.8,1
307,93861.0,7564.0,725.0,194.0,194.0,24.0,483.819587628866,1
308,5807.0,1250.0,135.0,12.0,12.0,1.0,483.9166666666667,1
309,236773.0,4651.0,214.0,489.0,489.0,23.0,484.19836400817996,1
310,631195.0,32597.0,670.0,1296.0,1296.0,22.0,487.03317901234567,1
311,113020.0,1026.0,94.0,232.0,232.0,24.0,487.1551724137931,1
312,234252.0,15905.0,2529.0,479.0,479.0,22.0,489.0438413361169,1
313,28452.0,2526.0,404.0,58.0,58.0,20.0,490.55172413793105,1
314,5726621.0,42070.0,1401.0,11607.0,11607.0,24.0,493.3764969415008,1
315,278083.0,13546.0,800.0,563.0,563.0,24.0,493.93072824156303,1
316,13552867.0,90202.0,3363.0,27401.0,27401.0,1.0,494.61213094412614,1
317,394455.0,6034.0,0.0,797.0,797.0,20.0,494.92471769134255,1
318,77596.0,9156.0,1194.0,156.0,156.0,22.0,497.4102564102564,1
